vertex_ind,xcoord,ycoord
"307",-154447.675871317012934,-2479966.330308393109590
"308",-154338.245634653023444,-2480116.565035217441618
"309",-154227.433075877605006,-2480264.948531368747354
"310",-154112.677424150169827,-2480409.805509459692985
"311",-153991.742425925243879,-2480549.602488276083022
"312",-153863.048146499029826,-2480682.994181377347559
"313",-153725.532715264125727,-2480808.893433172255754
"314",-153578.702405205927789,-2480926.370178033597767
"315",-153422.469331579341087,-2481034.637920836918056
"316",-153257.164109640289098,-2481133.064675915520638
"317",-153083.274926634796429,-2481221.166213634889573
"318",-152901.500223877723329,-2481298.589853740762919
"319",-152712.597236414527288,-2481365.148971925023943
"320",-152517.428568815928884,-2481420.888768245000392
"321",-152316.748805480950978,-2481466.061349726282060
"322",-152111.512813165929401,-2481501.096358462236822
"323",-151902.320396816154243,-2481526.608276369515806
"324",-151690.064850685797865,-2481543.252998220734298
"325",-151475.299567006441066,-2481551.850349978543818
"326",-151258.684269350080285,-2481553.043097955640405
"327",-151040.777416345692473,-2481547.633214185014367
"328",-150822.203411011985736,-2481536.104138682596385
"329",-150603.334472503163852,-2481518.998880964703858
"330",-150385.079752563848160,-2481496.748977743554860
"331",-150167.792699445097242,-2481469.654611249454319
"332",-149952.061250398750417,-2481438.024441972840577
"333",-149738.196792160015320,-2481402.098239551763982
"334",-149526.938981955638155,-2481362.191130134742707
"335",-149318.456657211208949,-2481318.724970516748726
"336",-149113.062936662667198,-2481272.061738846823573
"337",-148910.848259051213972,-2481222.884472319856286
"338",-148711.881840470101452,-2481171.880497596692294
"339",-148515.978235814924119,-2481119.961642319802195
"340",-148323.019574817415560,-2481068.121546688955277
"341",-148132.627178967872169,-2481017.545834140852094
"342",-147944.554640093352646,-2480969.408078944310546
"343",-147758.407987444894388,-2480924.980101262219250
"344",-147573.962974574184045,-2480885.344129837118089
"345",-147390.978357525309548,-2480851.663895064033568
"346",-147209.436376836325508,-2480824.739565584342927
"347",-147029.206963575823465,-2480805.400531972292811
"348",-146850.722366062167566,-2480794.144031384494156
"349",-146674.087061120488215,-2480791.382633951492608
"350",-146499.781820807285840,-2480797.327454607468098
"351",-146328.102538542938419,-2480812.017387499101460
"352",-146159.569699425599538,-2480835.423647998366505
"353",-145994.493060884735314,-2480867.397029485087842
"354",-145833.331606310646748,-2480907.624692128505558
"355",-145676.306740716390777,-2480955.796995729207993
"356",-145523.658945141592994,-2481011.498808996751904
"357",-145375.339386297302553,-2481074.273135980125517
"358",-145231.224237199872732,-2481143.487791327293962
"359",-145090.831957270798739,-2481218.426383627112955
"360",-144953.466292458993848,-2481298.135930358432233
"361",-144818.051125200727256,-2481381.538410707842559
"362",-144683.339604839478852,-2481467.253151758108288
"363",-144547.764853010128718,-2481553.823986458126456
"364",-144409.778838667029049,-2481639.728319610003382
"365",-144267.806358670408372,-2481723.458826961461455
"366",-144120.541952136467444,-2481803.725799472536892
"367",-143966.818152561405441,-2481879.382349199149758
"368",-143805.875103747588582,-2481949.495779930613935
"369",-143637.061827938770875,-2482013.448170621413738
"370",-143460.012628754542675,-2482070.651383317541331
"371",-143274.481835194630548,-2482120.745838341768831
"372",-143080.423615809879266,-2482163.480691771488637
"373",-142877.777827061334392,-2482198.871716757304966
"374",-142666.712995248002699,-2482227.142323703039438
"375",-142447.299480758782011,-2482248.585118088871241
"376",-142219.822955173964147,-2482263.743202361743897
"377",-141984.399828051682562,-2482273.323537437245250
"378",-141741.588147818692960,-2482278.065213950816542
"379",-141491.633967960078735,-2482278.858331150840968
"380",-141235.163530584308319,-2482276.554845578502864
"381",-140972.688165632745950,-2482272.095250715501606
"382",-140705.002594737161417,-2482266.370086240582168
"383",-140432.848926865670364,-2482260.211108515039086
"384",-140157.220123715349473,-2482254.480343868955970
"385",-139878.860672198468819,-2482249.928442496340722
"386",-139599.276194839010714,-2482247.277243192773312
"387",-139319.301247270370368,-2482247.255322394426912
"388",-139040.146644860476954,-2482250.440941606182605
"389",-138762.823285727703478,-2482257.475151483900845
"390",-138488.578711477166507,-2482268.769864074885845
"391",-138218.214890349016059,-2482284.843880605418235
"392",-137953.082908343843883,-2482306.029066761955619
"393",-137693.900290762365330,-2482332.597553589846939
"394",-137441.520858352974756,-2482364.748097136151046
"395",-137196.582850808947114,-2482402.683520717080683
"396",-136959.822131527500460,-2482446.429558003321290
"397",-136731.658022193791112,-2482495.982764687854797
"398",-136512.556481010251446,-2482551.221524920314550
"399",-136302.743116801953875,-2482611.965306781232357
"400",-136102.463390081276884,-2482677.933296859264374
"401",-135911.728360899374820,-2482748.823755741119385
"402",-135730.574252183316275,-2482824.229726914316416
"403",-135558.820463186129928,-2482903.732397435698658
"404",-135396.308776029211003,-2482986.871381377801299
"405",-135242.700827184511581,-2483073.195186068303883
"406",-135097.632506482419558,-2483162.234039246104658
"407",-134960.594607955194078,-2483253.570098686031997
"408",-134831.143437031598296,-2483346.785019058268517
"409",-134708.633862321032211,-2483441.509385080542415
"410",-134592.409849708550610,-2483537.402166750747710
"411",-134481.737394897121703,-2483634.141341844107956
"412",-134375.807854021957610,-2483731.404720574617386
"413",-134273.754161953518633,-2483828.934931008145213
"414",-134174.631541235052282,-2483926.410978126805276
"415",-134077.446813737973571,-2484023.553938338533044
"416",-133981.212025375978556,-2484120.048719420563430
"417",-133884.974724833009532,-2484215.712627067230642
"418",-133787.828374748642091,-2484310.271549848373979
"419",-133689.040488402009942,-2484403.763812903314829
"420",-133587.873578564205673,-2484495.886908579152077
"421",-133483.740567197237397,-2484586.533141031861305
"422",-133376.230127058137441,-2484675.645698132459074
"423",-133265.030314893054310,-2484763.220835481304675
"424",-133149.952052332344465,-2484849.208827061112970
"425",-133030.965355168445967,-2484933.827696615364403
"426",-132908.173511366912862,-2485017.254745144397020
"427",-132781.660529744229279,-2485099.644419182557613
"428",-132651.675365064438665,-2485181.240219960920513
"429",-132518.428253550489899,-2485262.302492599468678
"430",-132382.279671346885152,-2485343.070679244119674
"431",-132243.545453015132807,-2485423.939022943843156
"432",-132102.550869202939793,-2485505.191533798351884
"433",-131959.447487611585530,-2485587.024570039007813
"434",-131814.717558995296713,-2485669.669729412533343
"435",-131668.367035602248507,-2485753.269869815092534
"436",-131520.516387135954574,-2485837.867810184136033
"437",-131371.062904128979426,-2485923.473529184237123
"438",-131219.829010802961420,-2486009.846232417970896
"439",-131066.414425098482752,-2486096.682672458235174
"440",-130910.457106137415394,-2486183.496532023884356
"441",-130751.330385808381834,-2486269.716562606394291
"442",-130588.452298993943259,-2486354.613278048112988
"443",-130421.172860199672868,-2486437.393885852303356
"444",-130248.955666135821957,-2486517.261364656034857
"445",-130071.277274626656435,-2486593.423702889587730
"446",-129887.818487997632474,-2486665.057602108921856
"447",-129698.342841072808369,-2486731.484923811629415
"448",-129502.823795575110125,-2486792.025328799616545
"449",-129301.309809392696479,-2486846.177625711541623
"450",-129094.139887276163790,-2486893.446569311432540
"451",-128881.619032226866693,-2486933.436276752036065
"452",-128664.269421276898356,-2486965.796146023552865
"453",-128442.635452884889673,-2486990.224370301235467
"454",-128217.426711473584874,-2487006.434572094585747
"455",-127989.301892128336476,-2487014.164132006932050
"456",-127759.166763645887841,-2487013.160982963163406
"457",-127527.469136029962101,-2487003.194435039069504
"458",-127295.698891996900784,-2486984.035965676885098
"459",-127064.309586407223833,-2486955.595161155797541
"460",-126834.170666434540180,-2486917.752048526424915
"461",-126605.903895559546072,-2486870.582005853764713
"462",-126380.189311298905523,-2486814.241290387231857
"463",-126157.388689325700398,-2486749.181797945406288
"464",-125937.798694047130994,-2486675.932479988783598
"465",-125721.301856679754565,-2486595.440181819256395
"466",-125507.632447383541148,-2486508.770140111446381
"467",-125296.135957865408272,-2486417.375362587161362
"468",-125086.028389320097631,-2486322.836245863232762
"469",-124876.233575406135060,-2486226.960888529196382
"470",-124665.727405368234031,-2486131.550143518019468
"471",-124453.401471080287592,-2486038.477440191898495
"472",-124238.394062554478296,-2485949.327672249637544
"473",-124019.877270897966810,-2485865.642927981447428
"474",-123797.406859567257925,-2485788.631138527765870
"475",-123570.472135970761883,-2485719.449867706745863
"476",-123339.245015784312272,-2485658.972795261535794
"477",-123103.517908387846546,-2485608.046409617643803
"478",-122863.634338962161564,-2485567.350999365095049
"479",-122619.687469498094288,-2485537.486670595128089
"480",-122372.193561366759241,-2485518.874418584629893
"481",-122121.390212686455925,-2485511.859401144552976
"482",-121867.661856526916381,-2485516.544990724883974
"483",-121611.157117367241881,-2485532.900089011061937
"484",-121352.284277456565178,-2485560.612350090406835
"485",-121090.950040382871521,-2485599.075560155790299
"486",-120827.152060410619015,-2485647.546418718528003
"487",-120560.585110498373979,-2485704.798802792560309
"488",-120290.938372334640007,-2485769.589368742890656
"489",-120017.730688235693378,-2485840.478669127449393
"490",-119740.578636194622959,-2485916.066380048636347
"491",-119459.061926637441502,-2485994.934281005524099
"492",-119173.061308496136917,-2486075.939329678658396
"493",-118882.468401782389265,-2486157.988946622237563
"494",-118587.571999984909780,-2486240.235042024869472
"495",-118288.752873016637750,-2486322.100903062149882
"496",-117986.794998938799836,-2486403.091880705207586
"497",-117682.286576983300620,-2486483.066346281673759
"498",-117376.683979963068850,-2486561.908872135914862
"499",-117070.682023777757422,-2486639.574540374334902
"500",-116766.070376391871832,-2486716.115175747312605
"501",-116463.800490142049966,-2486791.473953443579376
"502",-116165.146544475079281,-2486865.657769273966551
"503",-115871.131382570369169,-2486938.458668750710785
"504",-115582.916188547795173,-2487009.714542999863625
"505",-115301.193246374736191,-2487078.957261394243687
"506",-115026.710804320347961,-2487145.675243244040757
